asset_code,asset_name,currency
ADANIENT.NS,Adani Enterprises,INR
ADANIPORTS.NS,Adani Ports,INR
APOLLOHOSP.NS,Apollo Hospitals,INR
ASIANPAINT.NS,Asian Paints,INR
AXISBANK.NS,Axis Bank,INR
BAJAJ-AUTO.NS,Bajaj Auto,INR
BAJAJFINSV.NS,Bajan FinServ,INR
BAJFINANCE.NS,Bajan Finance,INR
BEL.NS,BEL,INR
BHARTIARTL.NS,Bharti Airtel,INR
BPCL.NS,BPCL,INR
CIPLA.NS,CIPLA,INR
COALINDIA.NS,Coal India,INR
DRREDDY.NS,Dr. Reddys,INR
EICHERMOT.NS,Eicher Motors,INR
GRASIM.NS,Grasim Ind,INR
HCLTECH.NS,HCL Tech,INR
HDFCBANK.NS,HDFC Bank,INR
HDFCLIFE.NS,HDFC Life,INR
HEROMOTOCO.NS,HERO Motors,INR
HINDALCO.NS,HINDALCO,INR
HINDUNILVR.NS,Hind Uniliver,INR
ICICIBANK.NS,ICICI Bank,INR
INDUSINDBK.NS,Indus Ind,INR
INFY.NS,Infosys,INR
IOC.NS,IOC,INR
ITC.NS,ITC,INR
JSWSTEEL.NS,JSW Steel,INR
KOTAKBANK.NS,Kotak Bank,INR
LT.NS,L&T,INR
M&M.NS,M&M,INR
MARUTI.NS,Maruti,INR
NESTLEIND.NS,Nestle India,INR
NTPC.NS,NTPC,INR
ONGC.NS,ONGC,INR
POWERGRID.NS,Power Grid,INR
RELIANCE.NS,Reliance,INR
SBIN.NS,SBI,INR
SBILIFE.NS,SBI Life,INR
SHRIRAMFIN.NS,Shriram Finance,INR
SUNPHARMA.NS,Sun Pharma,INR
TATACONSUM.NS,Tata Consumer,INR
TATAMOTORS.NS,Tata Motors,INR
TATASTEEL.NS,Tata Steels,INR
TCS.NS,TCS,INR
TECHM.NS,Tech Mahindra,INR
TITAN.NS,Titan,INR
TRENT.NS,Trent,INR
ULTRACEMCO.NS,Ultra Cement,INR
WIPRO.NS,Wipro,INR
